occupation_socp,occupation_socp_category_code,occupation_socp_description,occupation_socp_label
131082,BUS,Project Management Specialists,BUS-Project Management Specialists
131111,BUS,Management Analysts,BUS-Management Analysts
131121,BUS,"Meeting, Convention, And Event Planners","BUS-Meeting, Convention, And Event Planners"
131131,BUS,Fundraisers,BUS-Fundraisers
131141,BUS,"Compensation, Benefits, And Job Analysis Specialists","BUS-Compensation, Benefits, And Job Analysis Specialists"
131151,BUS,Training And Development Specialists,BUS-Training And Development Specialists
131161,BUS,Market Research Analysts And Marketing Specialists,BUS-Market Research Analysts And Marketing Specialists
131199,BUS,"Business Operations Specialists, All Other","BUS-Business Operations Specialists, All Other"
132011,FIN,Accountants And Auditors,FIN-Accountants And Auditors
132020,FIN,Property Appraisers And Assessors,FIN-Property Appraisers And Assessors
132031,FIN,Budget Analysts,FIN-Budget Analysts
132041,FIN,Credit Analysts,FIN-Credit Analysts
132051,FIN,Financial And Investment Analysts,FIN-Financial And Investment Analysts
132052,FIN,Personal Financial Advisors,FIN-Personal Financial Advisors
132053,FIN,Insurance Underwriters,FIN-Insurance Underwriters
132061,FIN,Financial Examiners,FIN-Financial Examiners
132070,FIN,Credit Counselors And Loan Officers,FIN-Credit Counselors And Loan Officers
132081,FIN,"Tax Examiners And Collectors, And Revenue Agents","FIN-Tax Examiners And Collectors, And Revenue Agents"
132082,FIN,Tax Preparers,FIN-Tax Preparers
1320XX,FIN,Other Financial Specialists,FIN-Other Financial Specialists
151211,CMM,Computer Systems Analysts,CMM-Computer Systems Analysts
151212,CMM,Information Security Analysts,CMM-Information Security Analysts
151221,CMM,Computer And Information Research Scientists,CMM-Computer And Information Research Scientists
151230,CMM,Computer Support Specialists,CMM-Computer Support Specialists
151241,CMM,Computer Network Architects,CMM-Computer Network Architects
151244,CMM,Network And Computer Systems Administrators,CMM-Network And Computer Systems Administrators
15124X,CMM,Database Administrators And Architects,CMM-Database Administrators And Architects
151251,CMM,Computer Programmers,CMM-Computer Programmers
151252,CMM,Software Developers,CMM-Software Developers
151253,CMM,Software Quality Assurance Analysts And Testers,CMM-Software Quality Assurance Analysts And Testers
151254,CMM,Web Developers,CMM-Web Developers
151255,CMM,Web And Digital Interface Designers,CMM-Web And Digital Interface Designers
151299,CMM,"Computer Occupations, All Other","CMM-Computer Occupations, All Other"
152011,CMM,Actuaries,CMM-Actuaries
152031,CMM,Operations Research Analysts,CMM-Operations Research Analysts
1520XX,CMM,Other Mathematical Science Occupations,CMM-Other Mathematical Science Occupations
171011,ENG,"Architects, Except Landscape And Naval","ENG-Architects, Except Landscape And Naval"
171012,ENG,Landscape Architects,ENG-Landscape Architects
171020,ENG,"Surveyors, Cartographers, And Photogrammetrists","ENG-Surveyors, Cartographers, And Photogrammetrists"
172011,ENG,Aerospace Engineers,ENG-Aerospace Engineers
172041,ENG,Chemical Engineers,ENG-Chemical Engineers
172051,ENG,Civil Engineers,ENG-Civil Engineers
172061,ENG,Computer Hardware Engineers,ENG-Computer Hardware Engineers
172070,ENG,Electrical And Electronics Engineers,ENG-Electrical And Electronics Engineers
172081,ENG,Environmental Engineers,ENG-Environmental Engineers
1720XX,ENG,Biomedical And Agricultural Engineers,ENG-Biomedical And Agricultural Engineers
172110,ENG,"Industrial Engineers, Including Health And Safety","ENG-Industrial Engineers, Including Health And Safety"
172121,ENG,Marine Engineers And Naval Architects,ENG-Marine Engineers And Naval Architects
172131,ENG,Materials Engineers,ENG-Materials Engineers
172141,ENG,Mechanical Engineers,ENG-Mechanical Engineers
1721XX,ENG,"Petroleum, Mining And Geological Engineers, Including Mining Safety Engineers","ENG-Petroleum, Mining And Geological Engineers, Including Mining Safety Engineers"
1721YY,ENG,Other Engineers,ENG-Other Engineers
173011,ENG,Architectural And Civil Drafters,ENG-Architectural And Civil Drafters
17301X,ENG,Other Drafters,ENG-Other Drafters
